,YR_1,YR_3,YR_5,YR_7,YR_9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella,0.00535221,0.005556931,0.006453214,0.007907739,0.008953132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Dechloromonas,0.007627282,0.006640495,0.006037616,0.010118268,0.014439744
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae|g__Prochlorococcus MIT9313,0.002255634,0.002554484,0.001051327,0.001449285,0.000301902
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,0.001944457,0.002062426,0.001711333,0.007356473,0.007457248
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus,0.003130097,0.002011462,0.00225349,0.001495883,0.002161444
k__Bacteria|p__Bacteroidota|c__Kapabacteria|o__Kapabacteriales|f__|g__,0.003308368,0.003167888,0.003375739,0.003000094,0.003054172
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Dinghuibacter,0.0006271,0.000672549,0.000821458,0.000604002,0.000520021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria Incertae Sedis|f__|g__Acidibacter,0.000950113,0.00079538,0.001136446,0.00131083,0.001234267
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Hydrogenophilaceae|g__,0.008104363,0.008697324,0.008999914,0.009592007,0.011816956
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__Fluviicola,0.0023321,0.000757759,0.001157085,0.000635025,0.001455231
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Microcystaceae|g__Microcystis PCC-7914,0.002821506,0.005733808,0.005851562,0.007099583,0.004663455
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,0.002823548,0.002437616,0.003340762,0.003064637,0.002882836
k__Bacteria|p__Firmicutes|c__Bacilli|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma,0.001381148,0.000949136,0.001574933,0.001275021,0.001004434
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__NS11-12 marine group|g__,0.000606626,0.000672994,0.001194443,0.000747973,0.001365475
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae|g__Planktothrix NIVA-CYA 15,0.000272428,0.000364096,0.000760461,0.004082794,0.000716117
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium,0.000985306,0.000646368,0.000816558,0.000507523,0.001092031
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__CM1G08,0.00682243,0.006387987,0.006555144,0.004935422,0.006639831
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter,0.017539142,0.00129692,0.0034973,0.005290332,0.005501328
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__env.OPS 17|g__,0.003435275,0.001599876,0.004326453,0.001745518,0.002081377
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia-Caballeronia-Paraburkholderia,0.001720976,0.000872566,0.001407521,0.001460115,0.001955603
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Oscillatoriaceae|g__Phormidium ETS-05,0.000154837,0.000183633,0.000316928,0.000394124,8.01E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__,0.000222552,0.000381035,0.000447519,0.000825575,0.00023082
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__MND1,0.004114833,0.004229103,0.005735377,0.00756109,0.008629947
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter,0.001584006,0.001218901,0.001603049,0.002029123,0.002669957
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans,0.000539319,0.000474609,0.000457616,0.001063284,0.001325465
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Calothrix PCC-6303,0.000143639,5.19E-05,4.68E-05,3.90E-05,3.07E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__AKYH767|g__,0.001207396,0.001784846,0.002551742,0.002304334,0.002126319
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__,0.00123328,0.001718104,0.003093307,0.001224252,0.000896563
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Z-35,0.007505012,0.00928281,0.00768782,0.005070319,0.005541867
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SC-I-84|g__,0.000998297,0.001344362,0.00179351,0.001539122,0.000871085
k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__|g__,0.001192939,0.001757381,0.002185841,0.001373735,0.001169285
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__,0.00033897,0.000258731,0.000505797,0.000305737,0.000322299
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__,0.002007338,0.002527875,0.002758284,0.002479544,0.001333568
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Undibacterium,0.00263953,0.001314886,0.001780549,0.001599127,0.002041576
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__,0.002621364,0.003096902,0.003433578,0.002866957,0.002416166
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Aquabacterium,0.004354696,0.006892885,0.00613408,0.002181653,0.003106182
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Staphylococcaceae|g__Staphylococcus,0.001676394,0.002693794,0.002258079,0.002918808,0.002702955
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia,0.002979077,0.001523597,0.001794299,0.002227308,0.004554161
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium,0.001016417,0.002741929,0.001526661,0.001271399,0.001483308
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__B1-7BS|g__,0.002012303,0.004722042,0.004914028,0.003273782,0.002543848
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__NS9 marine group|g__,0.000393014,0.000459584,0.000625701,0.000443116,0.000788738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Sulfuritalea,0.004687489,0.005789459,0.006106874,0.00499519,0.007562267
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Coleofasciculaceae|g__Microcoleus SAG 1449-1a,0.002142682,0.00339899,0.003987439,0.005779698,0.002087142
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Roseomonas,0.000883993,0.001617535,0.002040586,0.002796946,0.001757648
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__PeM15|f__|g__,0.001088609,0.002211981,0.002269616,0.001626064,0.001501233
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__GKS98 freshwater group,0.002806658,0.002089071,0.002912931,0.003161851,0.004101978
k__Bacteria|p__Firmicutes|c__Bacilli|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma,3.38E-05,4.75E-05,0,7.13E-06,1.29E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae|g__BD1-7 clade,0.002460745,0.003019594,0.003719855,0.003282409,0.004117873
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Cuspidothrix LMECYA 163,0.000387458,0.000304265,0.000413383,0.000728571,0.00024134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga,0.001994407,0.004164887,0.003342936,0.006521132,0.006346488
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella,0.002039012,0.002417786,0.003106682,0.00290573,0.002804327
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__Ellin6067,0.001112842,0.002299713,0.002442745,0.003371319,0.002263913
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Limnotrichales|f__Limnotrichaceae|g__Limnothrix,0.003810779,0.005991887,0.003289152,0.002641301,0.001504289
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Ferruginibacter,0.000941656,0.001204521,0.001026031,0.000928972,0.000886127
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.000850602,0.001228059,0.001373524,0.001417732,0.001698132
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Sphaerospermopsis BCCUSP55,0.001482534,0.001072224,0.00128565,0.001985428,0.000963668
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__,0.001623936,0.002647522,0.002198965,0.002207652,0.001342969
k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__67-14|g__,0.000793392,0.002185043,0.002007071,0.001026051,0.00107886
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas,0.001474515,0.001446026,0.001035277,0.002286111,0.002268566
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Chromobacteriaceae|g__Vogesella,0.012994946,0.001698389,0.00163149,0.003655631,0.009277502
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__|g__,0.000580241,0.001680455,0.002419378,0.00265597,0.002640572
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cryptomonas curvata|g__,0.003082419,0.000651529,0.000540386,0.000118905,0.000178261
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,0.000693929,0.000461345,0.000541314,0.001798608,0.005283649
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__|f__|g__,0.000931639,0.001618082,0.001996185,0.002367323,0.001891659
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax,0.000715005,0.000592448,0.000549187,0.001651246,0.001865736
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Phormidesmiales|f__Nodosilineaceae|g__Nodosilinea PCC-7104,1.10E-05,2.67E-05,9.85E-05,3.98E-05,8.31E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Limnobacter,0.000212021,4.72E-05,9.10E-05,0.000160845,0.000211938
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Propionivibrio,0.003356912,0.003275114,0.003969244,0.005474501,0.008888226
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Heterosigma akashiwo|g__,0.000701622,0.000456615,0.000811918,0.00021374,0.000395118
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__,0.000457353,0.000580761,0.000928798,0.000598706,0.000792365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__CCM19a|f__|g__,0.002874017,0.001704427,0.002123552,0.003450016,0.003906953
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia,0.000808834,0.001085392,0.00147018,0.00148712,0.00115375
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae|g__Vibrio,0.001866368,0.001187049,0.001196061,0.001159734,0.00142304
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales Incertae Sedis|g__,0.000663177,0.001913581,0.001696907,0.00177334,0.001314066
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Ga0077536|f__|g__,0.004532398,0.002034498,0.002690912,0.003046314,0.004087757
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Sediminibacterium,0.00036884,0.0003706,0.000333086,0.000382073,0.000376664
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Rhodoferax,0.001993526,0.001096472,0.001005219,0.000672284,0.001091014
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium,0.000423662,0.001140678,0.001590667,0.001739045,0.001322461
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter,0.000880025,0.001466368,0.001529246,0.003291562,0.003621002
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__MWH-UniP1 aquatic group|g__,0.000412663,0.000335835,0.000633814,0.000387421,0.000361995
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade|f__Clade II|g__,8.40E-05,4.57E-05,0.000112291,0.000246845,0.000177267
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae|g__Pseudohongiella,0.001516277,0.001328401,0.000954237,0.003480079,0.007150503
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia-Shigella,0.000964526,0.000911268,0.001220428,0.001925268,0.002336105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Methylophilaceae|g__,0.000439584,0.000244682,0.000600442,0.000384268,0.000729309
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__OLB12,0.000255614,0.000541673,0.001069463,0.000518464,0.000467964
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Citrus maxima|g__,0.00081416,0.001699845,0.000587699,0.000427237,0.000338694
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium,0.000518509,0.000695795,0.000591923,0.001514721,0.001292945
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus,0.000390556,0.000214744,0.000337449,0.000194765,0.000391762
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__,0.001021087,0.00202848,0.002026238,0.002413646,0.002227496
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Azospira,0.002351725,0.002200433,0.002484476,0.002804403,0.005366848
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Nitzschia alba (marine diatom),0.000188059,0.000294597,0.000524016,0.00036647,9.09E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia,0.001072261,0.000457192,0.000530423,0.00077117,0.001511659
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Gossypium arboreum|g__,0.000862131,0.000498934,0.000503958,0.000657722,0.000287823
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__TRA3-20|g__,0.001353414,0.001504034,0.001923938,0.002547804,0.002435058
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Pseudanabaenales|f__Pseudanabaenaceae|g__Pseudanabaena PCC-7429,0.000144493,0.00010089,0.000178073,0.000246679,0.000108981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__,0.003060497,0.001364037,0.001657009,0.001859399,0.002706788
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum,0.001835812,0.001033055,0.001030619,0.00050694,0.000772032
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__mle1-7,0.000901581,0.001189112,0.000951492,0.001459233,0.002080634
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Candidatus Aquiluna,0.000392126,0.000312737,0.000633192,0.000264582,0.00026573
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Arenimonas,0.000969431,0.00096418,0.001974755,0.001530482,0.001353497
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Spirosomaceae|g__Pseudarcicella,0.000507929,6.31E-05,4.00E-05,0.000104426,0.000204407
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__,0.002153498,0.001326572,0.00131723,0.002604774,0.003757839
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylomonadaceae|g__Crenothrix,0.000985915,0.0014714,0.001961417,0.001488604,0.001626242
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Aeromonadaceae|g__Aeromonas,0.002018202,0.00080147,0.00085994,0.00286732,0.006031709
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__oc32,0.000701661,0.001062622,0.001376242,0.001107434,0.000906888
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Aurantimicrobium,0.000282961,0.000431134,0.000536915,0.000300394,0.000247888
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Chromobacteriaceae|g__Crenobacter,0.001144974,0.001024205,0.001453337,0.001363706,0.00252819
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Lentimicrobiaceae|g__,0.000782223,0.000953401,0.001075312,0.000926743,0.001201911
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Oscillatoriaceae|g__Planktothricoides SR001,0.000790807,0.000902166,0.000636711,0.000608891,0.000171958
k__Bacteria|p__Bacteroidota|c__Kryptonia|o__Kryptoniales|f__BSV26|g__,0.000632192,0.001116964,0.002147726,0.001831109,0.00202181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Caenimonas,0.000713595,0.00022296,0.000410716,0.00035248,0.000569171
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Halomonadaceae|g__HdN1,0.003831802,0.001479188,0.002361377,0.002208353,0.002673877
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Altererythrobacter,0.001076804,0.000526682,0.000720233,0.001045887,0.000944199
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter,0.000289533,0.000424472,0.00059628,0.000501933,0.000244468
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales|f__Methylophagaceae|g__,0.000775066,0.000777975,0.000814647,0.000696504,0.000684088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__PLTA13|f__|g__,0.000741318,0.001526367,0.001446971,0.001111352,0.001176663
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Aphanizomenon MDT14a,0.000520846,0.000813663,0.000814463,0.001072258,0.000748554
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium,0.00063521,0.000363804,0.000320776,0.000655717,0.000664659
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SZB30|f__|g__,0.000622802,0.000826233,0.001015525,0.000778648,0.000821561
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coscinodiscus radiatus|g__,0.000503764,0.001244314,0.00120653,0.001165735,0.000348365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__Nitrosomonas,0.000692784,0.001463496,0.001577347,0.001065546,0.000787982
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__GOUTA6,0.000941181,0.001311466,0.001732861,0.002586586,0.002996034
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae|g__Cellvibrio,0.004093125,0.002212835,0.001183032,0.000724797,0.001336245
k__Bacteria|p__Cyanobacteria|c__Sericytochromatia|o__|f__|g__,0.000305751,0.000583279,0.00078011,0.001331911,0.001627689
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Cyanobacteriaceae|g__Annamia HOs24,0.000626626,0.000360614,0.000874058,0.00057395,0.000248748
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Acanthoceras zachariasii|g__,0.002135301,0.00134118,0.001690645,0.001215247,0.000500464
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides,0.000281817,0.000375874,0.00024639,0.000285736,0.000299428
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Rhizosolenia setigera|g__,0.00098929,0.002679627,0.002892604,0.002193041,0.000727159
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__|g__,0.00031216,0.000781414,0.000513821,0.000559674,0.000538191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__OM60(NOR5) clade,0.000280752,0.000100365,0.00019299,0.000244213,0.000287687
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia,0.00065158,0.000499828,0.0001877,0.000380735,0.000395745
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Candidatus Kinetoplastibacterium,0.00024747,0.000265723,0.000295217,8.20E-05,9.40E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus,8.74E-05,2.54E-05,1.04E-05,2.79E-05,3.21E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes vadinHA17|g__,0.000302281,0.000411988,0.000650053,0.00050951,0.000522988
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__KF-JG30-C25|f__|g__,0.000272811,0.000591618,0.001336877,0.001009765,0.000926982
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium,0.000332581,0.000545909,0.000824225,0.001387705,0.001234299
